gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sema7a	1152.7426042825	3.53614459321732	0.0720775949728173	49.0602467320242	0	0
Ank	5270.51743625231	1.82620977507204	0.0514139005129397	35.5197671612645	2.43484794641293e-276	1.70390659289977e-272
Tpx2	3870.93064654807	1.39550348960337	0.0461433814425466	30.2427660474107	6.49489089140585e-201	3.03008309720388e-197
Rnf150	249.204501533041	3.28326638844888	0.113277170304221	28.9843609231343	1.03596511295078e-184	3.62484193021478e-181
Ube2c	1381.29587480996	1.31592743193835	0.045957542142877	28.6335467603397	2.56954890499876e-180	7.19268129487253e-177
Uhrf1	3719.93168908157	1.27765312776504	0.0449454892949367	28.4267264147678	9.45368298025321e-178	2.20522911652706e-174
Tubb4b	9077.7543297109	0.867172037117832	0.0305543913776235	28.3812570965791	3.44500828223887e-177	6.88804798831645e-174
Mcm6	4794.08885022841	0.9898445979202	0.0349351034337754	28.3338104264267	1.32509054147047e-176	2.31824590230259e-173
Dusp6	690.759754397227	1.96983051547017	0.0699085756882924	28.1772371425965	1.11170881194267e-174	1.72883072577218e-171
Top2a	9418.74211339514	1.29731471105121	0.0464986998007477	27.90002121802	2.66648079568267e-171	3.73200652163746e-168
Kifc1	1891.65219508688	1.26932416968241	0.0462420362947612	27.4495734052745	7.02953521848024e-166	8.94412499253177e-163
Camk2b	823.318875943826	-2.30654022646547	0.085652633197573	-26.9290054532828	1.0050053291375e-159	1.1721712155507e-156
Racgap1	4828.97348550096	1.22225807377135	0.0455375201424655	26.8406814852342	1.08356881454751e-158	1.16658685603131e-155
Mmp13	2693.92093681496	2.08669106543025	0.0778076025945421	26.8186012143834	1.96106267766981e-158	1.96050237404762e-155
Spp1	76064.0543136335	2.09713968964153	0.0783125765635891	26.7790919628173	5.66189755175882e-158	5.28292787562777e-155
Tacc3	2471.60736975423	1.14645293971349	0.0429031672613848	26.7218719011768	2.62208897175679e-157	2.29367232804425e-154
Pimreg	1294.04258801407	1.42273860563566	0.0535363911314865	26.5751683213272	1.31485208639918e-155	1.08250998830841e-152
Enpp1	187.171764319592	4.84311962297645	0.182961986654971	26.4706331163182	2.11202276708306e-154	1.64221503600525e-151
Emp1	21537.1301455734	0.817844509242396	0.0310682343010153	26.3241387108913	1.01519335588881e-152	7.47823484685251e-150
Ckap2l	2306.99401830717	1.38099968383515	0.0525473959966765	26.2810298710613	3.16004807342384e-152	2.211401641782e-149
Ckap2	2405.81935260804	1.22880370077177	0.0471355524730557	26.0695724628281	8.07226038038687e-150	5.37996934685213e-147
Ccnb2	1402.89271024092	1.44765859558847	0.0558137517142935	25.9373102707542	2.52845114861528e-148	1.60855464890997e-145
Tnc	50448.7657632648	0.857162778403203	0.0331916562006521	25.8246462069092	4.68899502210225e-147	2.85335540562361e-144
Incenp	3048.16383140266	1.14551429163161	0.0443644171785846	25.8205644181113	5.2110339937617e-147	3.0389013240287e-144
Tk1	1768.43113229907	1.04873766737782	0.0408619674141946	25.6653737874969	2.84819696160964e-145	1.59453458698754e-142
Tuba1b	34089.7680103684	0.731915829730335	0.028658364030318	25.5393444285945	7.21136051877406e-144	3.88193083926007e-141
Birc5	1766.26851887769	1.22124373631802	0.0481266628524904	25.3756164241258	4.68797946084109e-142	2.43010964940488e-139
Hmgn2	7867.61170030822	0.943480757339073	0.0372894009612784	25.3015798864345	3.06887643765472e-141	1.53399980790769e-138
Eln	634.894211547686	1.83419050203229	0.0731174482024223	25.0855376811622	7.15321468566075e-139	3.4522894048451e-136
Rrm2	2292.67776856509	1.16235338504835	0.0467076746586404	24.8857044060388	1.06262006745067e-136	4.95747682134652e-134
Megf10	3246.39056472904	1.77991527168535	0.0718686630272478	24.7662221156184	2.07344773004284e-135	9.3612820740902e-133
Serpine2	9500.38332741797	0.638316460440079	0.0258346071561024	24.7078059512626	8.81635132515432e-135	3.85605166083937e-132
Cdh11	27301.878247261	0.622184480945593	0.0251895444891145	24.7001084602568	1.06661712464293e-134	4.52374947772801e-132
Pdgfrb	5866.90596149822	0.674704578284899	0.0275923301783979	24.4526132415278	4.72038876318183e-132	1.94313415086744e-129
Kpna2	6026.20774720355	1.09387179348559	0.0447425041919431	24.4481575906645	5.26465264942312e-132	2.10525938518074e-129
Cgref1	6237.8172724578	-1.43104287710341	0.0590807840361607	-24.2217990239861	1.31122444522827e-129	5.09774925983746e-127
Stmn1	3512.91502812827	1.2525241784702	0.0518831714780974	24.1412416162524	9.22836645883789e-129	3.4908166745377e-126
Ndc80	1106.12403498048	1.27185255076543	0.0531605026513116	23.9247653301496	1.6922833349978e-126	6.23294672542873e-124
Rrm1	4702.22192803321	0.953933208567876	0.0399107464860254	23.9016628992868	2.94319234455556e-126	1.05622871934358e-123
Cdc20	1697.01509663866	1.32571323580837	0.0559456026257378	23.6964689553363	3.92097615949234e-124	1.37194955820637e-121
Lmnb1	2558.59915869944	1.16689781229711	0.0495653606277105	23.5426071256048	1.49452263684993e-122	5.10178995740282e-120
Tubb6	3290.6871604063	0.933713716944468	0.039711337187379	23.5125226969496	3.03707325723431e-122	1.01206850733932e-119
Sdc1	6037.03440003544	0.741892678870164	0.0316901895898166	23.4107996346152	3.31753270165824e-121	1.07981831842811e-118
Mcm5	2322.45591144488	1.06705922805191	0.0456121610794738	23.3941826652915	4.89790373189761e-121	1.55797865071907e-118
Cyth3	3852.15624000362	0.878168242199132	0.0380511512625523	23.078624773789	7.59137908407779e-118	2.36108759246117e-115
Egr3	730.978773829982	1.72579129990067	0.0757703867743755	22.7765935132366	7.82431722733853e-115	2.38063356334413e-112
Knstrn	1851.81114238009	1.27680797676218	0.0562870525471688	22.6838663419479	6.46514304223577e-114	1.92523706423685e-111
Melk	1400.22894994283	1.25820243192911	0.0554785536170453	22.6790777678555	7.20840248132213e-114	2.10185002351218e-111
Kif2c	1023.06522543247	1.36609476343021	0.0604235125532784	22.6086618553606	3.56173832928381e-113	1.01734876850319e-110
Cdca3	2537.44502164818	1.32497772044627	0.0589126255937114	22.4905562618093	5.13518458748404e-112	1.43744086972853e-109
Rangap1	3356.04816716995	0.940461411385117	0.0421391937402744	22.3179735516931	2.4724439721863e-110	6.78516192837636e-108
Prc1	3162.02247027296	1.34741347193862	0.0606839923017844	22.2037710577423	3.15812616759556e-109	8.5002180464745e-107
Gas6	5270.61115819838	0.808561110932968	0.0364575080780656	22.178178201363	5.57927007319515e-109	1.47334837631018e-106
Mki67	10472.0937718622	1.51075113665797	0.0682282728455376	22.1425968099496	1.22945310750888e-108	3.18656031346191e-106
Mcm2	3689.6914957346	0.869857666631064	0.0394495186858422	22.0498930179152	9.57498131653871e-108	2.43657160920501e-105
Hmmr	2595.86263126115	1.37597489750356	0.0627588055007011	21.924810176449	1.50665111961105e-106	3.76555161965649e-104
Kif20a	2552.84881239965	1.35211382589466	0.0616730243420526	21.9239098506914	1.53674931075319e-106	3.77339357075467e-104
Bub1b	2245.35638546337	1.34477817596056	0.0616662663426644	21.8073552319182	1.97572053126939e-105	4.76761802683558e-103
Armcx3	3028.42683870777	-0.668504786788804	0.0306815160744683	-21.788518701822	2.98139465681262e-105	7.07247451131346e-103
Nuf2	1394.77541728748	1.32939770369715	0.0611345020906485	21.7454572824681	7.62687826191307e-105	1.77909646922892e-102
Nudt4	7450.03003311963	0.688064030219783	0.0317311266865591	21.6841978860851	2.89255445493595e-104	6.63675281168584e-102
