gene	AtoB_rep1	AtoB_rep2	AtoB_rep3	AtoB_rep4	BtoA_rep1	BtoA_rep2	BtoA_rep3	BtoA_rep4
Ascl1	53.5243062574069	56.6710286731991	51.1124151896731	53.7171370652407	49.2577575933421	48.5363427081095	49.1022937486806	46.122716471186
Ctcfl	78.7716205297686	83.0523696072746	77.6515538458495	80.575705597861	80.6988794614329	82.9162521263537	78.1628349468792	82.218755448636
Dnmt1	66.652909679035	65.4648089845576	60.9417258030718	59.472544607945	61.8342063405784	60.6704283851369	58.1210823963974	58.1547294636693
E2f1	92.9101165222912	104.54827703504	86.4979333979083	103.597335768678	95.3714029998752	109.206771093246	91.1899741046925	111.296120180471
E2f4	94.9299016640801	111.387883943874	90.4296576432678	110.311977901834	99.5635525822873	114.262640125341	96.2004122423129	115.306791177965
E2f6	71.7023725335073	77.1898493997022	67.8222432324509	72.9018288742552	69.1704681097996	74.8268616750021	66.1377834165901	74.1974134536471
E2f7	76.7518353879797	85.0065430097987	72.7368985391502	83.4534093692132	81.7469168570359	93.0279901905432	79.1649225744033	92.245432942372
Ehf	52.5144136865124	58.6252020757232	52.095346251013	52.7579024747899	69.1704681097996	87.9721211584485	68.1419586716383	86.2294264461304
Elf5	48.4748434029345	49.8314217643647	49.1465530669934	46.0432603416349	67.0743933185935	83.9274259327727	66.1377834165901	81.2160876992623
Fezf1	53.5243062574069	56.6710286731991	54.0612083736927	57.5540754270436	49.2577575933421	50.5586903209474	52.1085566312528	50.1333874686805
Fezf2	53.5243062574069	56.6710286731991	54.0612083736927	57.5540754270436	49.2577575933421	50.5586903209474	52.1085566312528	50.1333874686805
Foxh1	56.5539839700903	71.3273291921299	54.0612083736927	70.9833596933537	51.3538323845482	46.5139950952716	51.1064690037287	48.1280519699332
Foxq1	56.5539839700903	52.7626818681509	56.0270704963724	57.5540754270436	45.06560801093	41.4581260631769	47.0981184936324	40.1067099749444
Jrkl	52.5144136865124	61.5564621795094	51.1124151896731	59.472544607945	52.4018697801512	48.5363427081095	49.1022937486806	47.1253842205596
Klf10	78.7716205297686	86.9607164123228	73.7198296004901	87.2903477310161	76.5067298790208	84.9385997391916	73.1523968092588	84.2240909473832
Klf11	101.999149660341	119.204577553971	94.3613818886273	117.985854625439	104.803739560302	124.374378189531	101.210850379933	127.338804170448
Klf12	120.177215936442	155.356785500667	118.934658422124	159.232942014821	117.380188307539	142.575506705072	114.237989537747	148.394826907294
Klf15	70.6924799626129	77.1898493997022	66.839312171111	75.7795326456074	74.4106550878147	80.8939045135158	71.1482215542106	80.2134199498887
Klf3	85.8408685260299	96.7315834249433	80.6003470298691	95.9234590450726	85.939066439448	97.072685416219	82.1711854569756	97.2587716892401
Klf5	81.801298242452	93.8003233211572	76.6686227845097	92.0865206832697	85.939066439448	99.0950330290569	83.1732730844997	100.266774937361
Klf7	113.107967940181	142.65465838426	110.088278870065	143.885188567609	115.284113516333	139.541985285815	112.233814282698	144.3841559098
Obox3	62.6133393954571	62.5335488807714	60.9417258030718	58.5133100174943	42.969533219724	39.435778450339	43.089767983536	38.1013744761972
Obox5	62.6133393954571	63.5106355820335	62.9075879257515	57.5540754270436	38.7773836373119	35.3910832246632	41.0855927284878	34.0907034787027
Obox7	62.6133393954571	63.5106355820335	62.9075879257515	57.5540754270436	38.7773836373119	35.3910832246632	41.0855927284878	34.0907034787027
Otx1	64.6331245372461	66.4418956858196	62.9075879257515	62.3502483792972	41.921495824121	36.4022570310821	42.0876803560119	36.0960389774499
Patz1	86.8507610969244	102.594103632516	82.5662091525489	101.678866587777	92.2272908130661	109.206771093246	88.1837112221202	111.296120180471
Pitx2	60.5935542536682	62.5335488807714	58.9758636803921	57.5540754270436	49.2577575933421	47.5251689016906	50.1043813762046	48.1280519699332
Prdm16	48.4748434029345	46.9001616605786	48.1636220056535	47.9617295225363	56.5940193625633	56.6257331594611	55.1148195138251	57.1520617142957
Rest	60.5935542536682	59.6022887769853	55.0441394350326	59.472544607945	54.4979445713573	54.6033855466232	52.1085566312528	53.1413907168013
Sall4	64.6331245372461	69.3731557896058	61.9246568644117	67.1464213315508	64.9783185273875	71.7933402557453	62.1294329064938	72.1920779548999
Snai2	52.5144136865124	56.6710286731991	51.1124151896731	55.6356062461421	47.1616828021361	45.5028212888527	48.1002061211565	42.1120454736916
Sp2	79.7815131006631	85.9836297110607	74.7027606618299	83.4534093692132	74.4106550878147	79.8827307070969	71.1482215542106	79.2107522005151
Sp4	97.9595793767636	116.273317450184	92.3955197659475	115.108150854087	105.851776955905	125.38555199595	102.212938007457	129.344139669196
Sp5	67.6628022499295	72.304415893392	63.8905189870914	70.9833596933537	71.2665429010056	77.860383094259	69.1440462991624	77.2054167017679
Sp8	88.8705462387133	103.571190333778	85.5150023365685	103.597335768678	99.5635525822873	119.318509157436	97.202499869837	123.328133172954
Sp9	96.9496868058691	114.31914404766	91.4125887046077	115.108150854087	105.851776955905	125.38555199595	103.215025634982	129.344139669196
Tcf12	49.484735973829	49.8314217643647	48.1636220056535	48.920964112987	50.3057949889452	50.5586903209474	50.1043813762046	48.1280519699332
Tcf4	49.484735973829	47.8772483618406	49.1465530669934	49.8801987034378	48.2097201977391	47.5251689016906	47.0981184936324	46.122716471186
Tfap2b	64.6331245372461	65.4648089845576	59.9587947417319	65.2279521506494	58.6900941537693	59.6592545787179	57.1189947688733	60.1600649624166
Tfap2e	63.6232319663516	62.5335488807714	57.9929326190522	63.3094829697479	59.7381315493724	61.6816021915558	58.1210823963974	62.1654004611638
Thra	45.4451656902511	43.9689015567924	47.1806909443136	45.0840257511841	47.1616828021361	44.4916474824337	46.0960308661083	45.1200487218124
Tigd2	52.5144136865124	61.5564621795094	51.1124151896731	59.472544607945	52.4018697801512	48.5363427081095	49.1022937486806	47.1253842205596
Ubp1	57.5638765409848	67.4189823870817	57.9929326190522	66.1871867411001	52.4018697801512	49.5475165145285	49.1022937486806	49.1307197193069
Zbtb17	73.7221576752963	80.1211095034884	68.8051742937907	77.6980018265088	74.4106550878147	79.8827307070969	70.1461339266865	79.2107522005151
Zbtb2	57.5638765409848	77.1898493997022	61.9246568644117	70.9833596933537	60.7861689449754	64.7151236108127	59.1231700239215	66.1760714586582
Zbtb37	63.6232319663516	59.6022887769853	59.9587947417319	59.472544607945	61.8342063405784	62.6927759979748	60.1252576514456	62.1654004611638
Zeb2	52.5144136865124	51.7855951668888	50.1294841283332	52.7579024747899	44.017570615327	42.4692998695958	45.0939432385842	40.1067099749444
Zfp64	65.6430171081405	65.4648089845576	60.9417258030718	61.3910137888465	56.5940193625633	53.5922117402042	54.112731886301	52.1387229674277
Zfp740	58.5737691118792	65.4648089845576	57.0100015577123	64.2687175601987	59.7381315493724	65.7262974172316	58.1210823963974	62.1654004611638
Zfx	76.7518353879797	83.0523696072746	71.7539674778103	77.6980018265088	67.0743933185935	67.7486450300695	63.1315205340178	67.1787392080318
Bcl11a	50.4946285447235	51.7855951668888	52.095346251013	54.6763716556914	54.4979445713573	56.6257331594611	55.1148195138251	55.1467262155485
