label	Ets1	p300	Ets1_Z	p300_Z	DIFF	DIFF_Z	DIFF_Q	Ets1_Q	p300_Q
chr19 14700000 14800000	320	196	1.95377626784441	2.42040943946996	0.03519470031	1.28871358862916	Q10	Q10	Q10
chr19 14800000 14900000	348	166	2.35787771151521	1.64467353165166	0.03519470031	1.28871358862916	Q10	Q10	Q10
chr19 14900000 15000000	287	169	1.47751385208954	1.72224712243349	0.03519470031	1.28871358862916	Q10	Q10	Q10
chr19 15000000 15100000	335	176	2.17025918409663	1.90325216759109	0.03519470031	1.28871358862916	Q10	Q10	Q10
chr19 15100000 15200000	305	161	1.7372933515922	1.51538421368195	0.03519470031	1.28871358862916	Q10	Q10	Q10
chr19 15500000 15600000	314	188	1.86718310134353	2.21354653071841	0.03519470031	1.28871358862916	Q10	Q10	Q10
chr19 15600000 15700000	333	164	2.141394795263	1.59295780446378	0.03519470031	1.28871358862916	Q10	Q10	Q10
chr19 15700000 15800000	313	169	1.85275090692671	1.72224712243349	0.03519470031	1.28871358862916	Q10	Q10	Q10
chr19 25900000 26000000	279	159	1.36205629675503	1.46366848649406	0.03552363063	1.29913717723257	Q10	Q10	Q10
chr19 26300000 26400000	287	167	1.47751385208954	1.67053139524561	0.03552363063	1.29913717723257	Q10	Q10	Q10
chr19 31300000 31400000	414	200	3.31040254302495	2.52384089384573	0.03622037424	1.32121653055182	Q10	Q10	Q10
chr19 31400000 31500000	338	167	2.21355576734707	1.67053139524561	0.03622037424	1.32121653055182	Q10	Q10	Q10
chr19 31500000 31600000	333	161	2.141394795263	1.51538421368195	0.03622037424	1.32121653055182	Q10	Q10	Q10
chr19 31600000 31700000	355	183	2.45890307243291	2.0842572127487	0.03622037424	1.32121653055182	Q10	Q10	Q10
chr19 48300000 48400000	287	172	1.47751385208954	1.79982071321532	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 48500000 48600000	318	172	1.92491187901078	1.79982071321532	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 48600000 48700000	360	183	2.53106404451698	2.0842572127487	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 48700000 48800000	302	168	1.69399676834176	1.69638925883955	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 48800000 48900000	351	165	2.40117429476565	1.61881566805772	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 49000000 49100000	275	165	1.30432751908777	1.61881566805772	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 49200000 49300000	314	161	1.86718310134353	1.51538421368195	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 49600000 49700000	277	181	1.3331919079214	2.03254148556081	0.03636726637	1.32587144692499	Q10	Q10	Q10
chr19 49800000 49900000	287	169	1.47751385208954	1.72224712243349	0.03636726637	1.32587144692499	Q10	Q10	Q10
