chr.x	starts	end	DAY0	DAY4	DIFF	label	AB_chr	AB_starts	AB_ends	DAY0_AB	DAY4_AB	chr.y	RE_starts	RE_ends	gene	log2FoldChange	padj	DAY0_Ets1	DAY4_Ets1	DAY0_p300	DAY4_p300	DAY0_ATAC	DAY4_ATAC	Ets1_FC	p300_FC	ATAC_FC	st	RE_len	cate	comp
chr10	3200000	3300000	-0.01889867071	0.01231185222	0.03121052293	chr10 3200000 3300000	chr10	3200000	3300000	-0.01889867071	0.01231185222	chr10	3266771	3268771	H60c	-0.714874385061884	0.0399579603685194	6	0	0	0	9	21	-7	0	2.2	+	2000	PROMOTER	BtoA
chr10	3300000	3400000	-0.01889867071	0.01231185222	0.03121052293	chr10 3300000 3400000	chr10	3300000	3400000	-0.01889867071	0.01231185222	chr10	3365057	3367057	Ppp1r14c	-1.40696891710683	0.0146050039515817	5	7	3	3	35	37	1.33333333333333	0	1.05555555555556	+	2000	PROMOTER	BtoA
chr10	3500000	3600000	-0.01889867071	0.01231185222	0.03121052293	chr10 3500000 3600000	chr10	3500000	3600000	-0.01889867071	0.01231185222	chr10	3507000	3509000	Iyd	1.11163962481317	NA	1	0	0	2	34	38	-Inf	Inf	1.11764705882353	+	2000	ENHANCER	BtoA
chr10	3500000	3600000	-0.01889867071	0.01231185222	0.03121052293	chr10 3500000 3600000	chr10	3500000	3600000	-0.01889867071	0.01231185222	chr10	3509300	3511300	Iyd	1.11163962481317	NA	5	1	2	7	15	21	-5	3.5	1.4	+	2000	ENHANCER	BtoA
chr10	3500000	3600000	-0.01889867071	0.01231185222	0.03121052293	chr10 3500000 3600000	chr10	3500000	3600000	-0.01889867071	0.01231185222	chr10	3539240	3541240	Iyd	1.11163962481317	NA	3	3	4	6	34	29	0	1.4	-1.16666666666667	+	2000	PROMOTER	BtoA
chr10	3600000	3700000	-0.01889867071	0.01231185222	0.03121052293	chr10 3600000 3700000	chr10	3600000	3700000	-0.01889867071	0.01231185222	chr10	3649400	3651400	Plekhg1	-0.981991258512434	4.23779146714383e-74	6	1	2	3	18	17	-6	1.5	-1.05882352941176	+	2000	ENHANCER	BtoA
chr10	3600000	3700000	-0.01889867071	0.01231185222	0.03121052293	chr10 3600000 3700000	chr10	3600000	3700000	-0.01889867071	0.01231185222	chr10	3695800	3697800	Plekhg1	-0.981991258512434	4.23779146714383e-74	6	5	2	5	147	119	-1.2	2.5	-1.23529411764706	+	2000	ENHANCER	BtoA
chr10	3700000	3800000	-0.01889867071	0.01231185222	0.03121052293	chr10 3700000 3800000	chr10	3700000	3800000	-0.01889867071	0.01231185222	chr10	3739364	3741364	Plekhg1	-0.981991258512434	4.23779146714383e-74	3	3	5	2	205	119	0	-2	-1.71666666666667	+	2000	PROMOTER	BtoA
chr10	3900000	4000000	-0.01889867071	0.01231185222	0.03121052293	chr10 3900000 4000000	chr10	3900000	4000000	-0.01889867071	0.01231185222	chr10	3972118	3974118	Mthfd1l	-0.253309288495843	6.81929345306112e-08	6	1	1	3	703	870	-3.5	2	1.23721590909091	+	2000	PROMOTER	BtoA
chr10	8900000	9000000	-0.01997530961	0.01762360051	0.03759891012	chr10 8900000 9000000	chr10	8900000	9000000	-0.01997530961	0.01762360051	chr10	8967900	8969900	Sash1	0.105787675039639	0.0681389006328915	5	2	1	3	70	29	-2.5	3	-2.41379310344828	+	2000	ENHANCER	BtoA
