chr	promoter_starts	promoter_ends	gene	DAY0_H3K27ac	DAY4_H3K27ac	DAY0_H3K4me3	DAY4_H3K4me3	H3K27ac_FC	H3K4me3_FC	fragMEAN	log2FoldChange	padj
chr9	3037743	3039743	Mir101c	258	164	365	278	-1.57317073170732	-1.31294964028777	266.25	NA	NA
chr1	88276633	88278633	Hjurp	149	108	239	216	-1.37962962962963	-1.10648148148148	178	-0.556291019430219	1.31867541504486e-19
chr1	88276661	88278661	Trpm8	148	106	232	209	-1.39622641509434	-1.11004784688995	173.75	-1.50808950869758	NA
chr6	86525321	86527321	Pcbp1	195	135	108	108	-1.44444444444444	0	136.5	0.268384249759284	9.54824431159248e-12
chr6	51468894	51470894	Hnrnpa2b1	142	107	123	86	-1.32710280373832	-1.43023255813953	114.5	-0.268426413313113	4.82358873071216e-10
chr6	87041846	87043846	Gfpt1	128	93	110	122	-1.37634408602151	1.10909090909091	113.25	0.476305299641664	3.07340232501235e-60
chr17	34121634	34123634	Brd2	134	110	86	104	-1.21818181818182	1.2093023255814	108.5	0.230911321233114	1.56183665947161e-19
chr10	80797198	80799198	Sf3a2	114	88	113	114	-1.29545454545455	1.00884955752212	107.25	-0.411484167863244	9.82097984182095e-09
chr5	23433441	23435441	Kmt2e	156	88	97	88	-1.77272727272727	-1.10227272727273	107.25	-0.0190304569093083	0.769122050645088
chr6	85960667	85962667	Dusp11	120	71	108	129	-1.69014084507042	1.19444444444444	107	0.178913079106038	0.00801474579411178
chr6	51469360	51471360	Cbx3	142	92	106	85	-1.54347826086957	-1.24705882352941	106.25	-0.317068498630666	2.38756212571722e-25
chr6	72438558	72440558	Mat2a	127	88	114	94	-1.44318181818182	-1.21276595744681	105.75	-0.4636988041175	3.14086694003717e-33
chr17	30003733	30005733	Zfand3	139	94	106	79	-1.47872340425532	-1.34177215189873	104.5	0.126164283262706	0.000299933384798508
chr19	28010166	28012166	Rfx3	130	81	120	87	-1.60493827160494	-1.37931034482759	104.5	0.234020497831493	0.0504604177295238
chr4	41134743	41136743	Ube2r2	133	83	117	83	-1.60240963855422	-1.40963855421687	104	-0.246303981536367	2.20760462107463e-07
chr6	86848517	86850517	Aak1	114	72	129	100	-1.58333333333333	-1.29	103.75	0.844334663641282	3.26822829157416e-31
chr6	97178122	97180122	Tmf1	101	67	141	106	-1.50746268656716	-1.33018867924528	103.75	1.04455354934012	3.54276386095001e-261
chr6	113377115	113379115	Arpc4	140	89	92	93	-1.57303370786517	1.01086956521739	103.5	-0.0902404908664136	0.105759272807369
chr6	113376883	113378883	Tada3	144	94	85	91	-1.53191489361702	1.07058823529412	103.5	0.11719286819666	0.103618121130042
chr6	134928092	134930092	Lockd	105	105	105	98	0	-1.07142857142857	103.25	-0.946737497060643	4.53417867880635e-13
chr4	62407797	62409797	Prpf4	90	75	106	139	-1.2	1.31132075471698	102.5	-0.367220138178692	2.92220323369202e-14
chr4	43561332	43563332	Creb3	101	83	107	115	-1.21686746987952	1.07476635514019	101.5	0.913217115662234	1.05143160171577e-32
chr19	5423979	5425979	Drap1	95	81	104	126	-1.17283950617284	1.21153846153846	101.5	-0.0822198901930111	0.11765815680534
chr10	80797626	80799626	Plekhj1	112	80	112	102	-1.4	-1.09803921568627	101.5	-0.290553117476078	6.08381462482874e-05
chr6	120363124	120365124	Kdm5a	111	91	112	91	-1.21978021978022	-1.23076923076923	101.25	0.402641126018704	3.6170123547856e-12
chr4	62407642	62409642	Cdc26	90	75	103	137	-1.2	1.33009708737864	101.25	0.696595556363013	2.91354420964343e-55
chr6	113076365	113078365	Setd5	126	96	95	87	-1.3125	-1.09195402298851	101	0.0127321296370513	0.752415709226498
chr17	29031628	29033628	Srsf3	97	83	103	120	-1.16867469879518	1.16504854368932	100.75	-0.288157948261463	1.96496342168255e-12
chr6	113076333	113078333	Gt(ROSA)26Sor	126	96	95	86	-1.3125	-1.1046511627907	100.75	0.788452434093818	5.59660886269865e-19
chr17	6429112	6431112	Dynlt1b	97	78	110	117	-1.24358974358974	1.06363636363636	100.5	-0.0479414847101262	0.329037656343723
chr6	85914687	85916687	Nat8f1	98	73	127	103	-1.34246575342466	-1.23300970873786	100.25	0.801519718428513	8.00019373318776e-05
chr6	134034700	134036700	Etv6	123	64	117	96	-1.921875	-1.21875	100	-0.262222236029067	5.17604960121127e-07
chr8	126944844	126946844	Tomm20	123	60	107	110	-2.05	1.02803738317757	100	0.142530185392232	0.0338736544392805
chr19	10576362	10578362	Tmem138	73	88	109	129	1.20547945205479	1.18348623853211	99.75	-0.646714828443808	9.10194524105355e-12
chr19	5424144	5426144	AI837181	94	75	104	125	-1.25333333333333	1.20192307692308	99.5	0.289851834990809	2.22286700968054e-07
chr17	35240746	35242746	Ddx39b	123	97	97	81	-1.2680412371134	-1.19753086419753	99.5	-0.255181476159858	7.50898935443205e-34
chr6	72438051	72440051	Particl	119	74	106	96	-1.60810810810811	-1.10416666666667	98.75	0.222553606518894	0.120689832490488
chr4	11155431	11157431	Trp53inp1	135	86	78	95	-1.56976744186047	1.21794871794872	98.5	0.0349197043961713	0.543680309443949
chr4	46388437	46390437	Trmo	114	77	97	106	-1.48051948051948	1.09278350515464	98.5	0.278745987447372	0.00733444530601848
chr6	30046988	30048988	Nrf1	112	68	115	98	-1.64705882352941	-1.1734693877551	98.25	-0.0667731532046223	0.266649760792324
chr6	120363374	120365374	Ccdc77	105	85	110	91	-1.23529411764706	-1.20879120879121	97.75	-0.199954460347157	0.014174999427622
chr19	10576172	10578172	Cyb561a3	71	82	108	128	1.15492957746479	1.18518518518519	97.25	-0.429467679883772	9.27901531620737e-07
chr11	98794516	98796516	Msl1	153	87	79	70	-1.75862068965517	-1.12857142857143	97.25	0.171390541636365	0.00126680333611963
chr17	24168702	24170702	Atp6v0c	122	77	109	81	-1.58441558441558	-1.34567901234568	97.25	0.244390534849375	3.0350638708389e-16
chr4	57567179	57569179	Pakap	130	91	91	76	-1.42857142857143	-1.19736842105263	97	-0.43520836344008	6.48234000163005e-09
chr4	46137694	46139694	Tstd2	85	80	111	111	-1.0625	0	96.75	0.031277832683524	0.651982773666469
chr4	46137613	46139613	Ncbp1	86	78	111	111	-1.1025641025641	0	96.5	-0.144069111666008	0.000827706487881532
chr19	10524266	10526266	Cpsf7	86	53	115	130	-1.62264150943396	1.1304347826087	96	-0.0227888356298155	0.597367254972797
chr6	119478668	119480668	Fbxl14	118	57	99	109	-2.07017543859649	1.1010101010101	95.75	-0.456318579136116	1.17504050597093e-21
chr5	142816662	142818662	Tnrc18	134	79	91	79	-1.69620253164557	-1.15189873417722	95.75	-0.866320110792798	2.62211707749064e-24
chr4	14863076	14865076	Pip4p2	111	64	80	126	-1.734375	1.575	95.25	-0.179915857928094	0.00120599881035639
chr11	106788185	106790185	Ddx5	105	67	97	111	-1.56716417910448	1.14432989690722	95	0.0476770294871979	0.168242558208822
chr5	32134801	32136801	Fosl2	124	67	100	88	-1.85074626865672	-1.13636363636364	94.75	0.587839733559199	7.57116296898315e-58
chr5	13124593	13126593	Sema3a	82	117	73	107	1.42682926829268	1.46575342465753	94.75	-0.215136174578706	9.55673890261178e-07
chr17	34118541	34120541	H2-DMa	124	76	94	83	-1.63157894736842	-1.13253012048193	94.25	-0.643954983016576	0.000123548439723757
chr17	35134178	35136178	Bag6	122	71	97	87	-1.71830985915493	-1.11494252873563	94.25	-0.148456081887446	0.000350795211332312
chr17	71001205	71003205	Myl12b	139	71	84	83	-1.95774647887324	-1.01204819277108	94.25	0.0708383410545127	0.284443971574585
chr11	106788252	106790252	Cep95	103	68	96	109	-1.51470588235294	1.13541666666667	94	0.145634855823449	0.272541445470522
chr5	28316121	28318121	Rbm33	126	73	99	77	-1.72602739726027	-1.28571428571429	93.75	0.449057709069638	1.15576252543814e-06
chr17	74294521	74296521	Memo1	127	63	110	75	-2.01587301587302	-1.46666666666667	93.75	0.133580771972745	0.0108882790347349
