V1	V2	V3	gene	DAY0_H3K27ac	DAY4_H3K27ac	DAY0_H3K4me1	DAY4_H3K4me1	DAY0_H3K4me3	DAY4_H3K4me3	H3K27ac_FC	H3K4me1_FC	H3K4me3_FC	RNA_FC	padj
chr4	32656119	32658119	Mdn1	5	24	8	9	23	22	4.8	1.125	-1.04545454545455	-1.1731879610458	0.00674586696084225
chr1	173672675	173674675	Ifi208	6	9	6	11	13	7	1.5	1.83333333333333	-1.85714285714286	-1.24979558485189	0.343873695861293
chr6	8258288	8260288	Umad1	4	15	7	10	22	22	3.75	1.42857142857143	1	-1.32206977884534	5.63675868971305e-06
chr14	118936976	118938976	Dnajc3	4	14	3	10	14	11	3.5	3.33333333333333	-1.27272727272727	1.02690020114507	0.338290913284359
chr11	116652534	116654534	Prcd	5	2	8	11	7	6	-2.5	1.375	-1.16666666666667	1.32141172164844	0.496352462456192
chr4	142082972	142084972	Tmem51os1	2	3	1	1	8	1	1.5	1	-8	2.57036746274226	0.545824556793643
chr4	43726188	43728188	Hrct1	1	19	12	16	10	6	19	1.33333333333333	-1.66666666666667	-1.52886704341057	0.170573580468382
chr5	147417601	147419601	D5Ertd605e	7	6	5	7	9	12	-1.16666666666667	1.4	1.33333333333333	2.58468051833471	0.140549456332263
chr4	132307623	132309623	Snhg12	7	20	6	7	16	9	2.85714285714286	1.16666666666667	-1.77777777777778	-1.14454427271376	0.124493610925232
chr4	127122691	127124691	Tmem35b	4	7	1	8	5	4	1.75	8	-1.25	-1.90564180811966	1.09616884124513e-08
chr17	6600792	6602792	Dynlt1c	9	25	23	21	30	28	2.77777777777778	-1.0952380952381	-1.07142857142857	1.08057736317041	0.605189551126044
chr4	89049308	89051308	Wincr1	15	25	7	12	29	26	1.66666666666667	1.71428571428571	-1.11538461538462	2.85465513424582	8.33065421906361e-06
chr12	109728764	109730764	Mirg	4	7	4	6	5	4	1.75	1.5	-1.25	1.71977047839524	0.560117040999046
chr4	114908257	114910257	Foxd2os	3	4	1	7	17	14	1.33333333333333	7	-1.21428571428571	-1.08735350786226	0.268443678807299
chr1	88225986	88227986	Mroh2a	4	14	14	14	15	18	3.5	1	1.2	-1.08383355312239	0.7835845950624
chr4	145669685	145671685	Zfp980	7	7	8	3	8	9	1	-2.66666666666667	1.125	-2.41695654029279	0.155134047422708
chr4	146501027	146503027	Zfp981	5	8	11	7	11	11	1.6	-1.57142857142857	1	-2.31509827599845	0.414125311141055
chr4	58942628	58944628	Zkscan16	4	5	6	8	16	8	1.25	1.33333333333333	-2	-4.8936182487529	0.0393872931370076
chr1	93917311	93919311	Gal3st2b	12	5	9	7	10	11	-2.4	-1.28571428571429	1.1	3.28140185694392	0.352748081765491
chr14	57797264	57799264	Sap18b	7	17	10	7	12	15	2.42857142857143	-1.42857142857143	1.25	-1.1652625294032	1.63161485340621e-09
chr7	6397715	6399715	Smim17	2	8	4	5	9	8	4	1.25	-1.125	-2.96747370966141	0.0463317965501775
chr11	75460539	75462539	Mir22hg	17	24	2	5	19	8	1.41176470588235	2.5	-2.375	1.23518006952807	0.00339252130048514
chr2	122027652	122029652	Eif3j2	6	25	1	14	22	20	4.16666666666667	14	-1.1	1.1237015957989	0.000861673789157989
chr1	71651837	71653837	Apol7d	12	12	4	6	16	30	1	1.5	1.875	1.13181591262034	0.785676992663136
chr4	147020850	147022850	Rex2	5	10	11	9	20	7	2	-1.22222222222222	-2.85714285714286	-1.61350328153029	0.03516991070354
chr7	135257703	135259703	Nps	5	11	6	10	12	3	2.2	1.66666666666667	-4	-1.59736635458558	0.783000219818193
chr2	118744758	118746758	Inafm2	3	11	1	10	13	14	3.66666666666667	10	1.07692307692308	1.12617739116918	0.00308747768502905
chr17	33288544	33290544	Zfp955b	8	18	8	16	29	18	2.25	2	-1.61111111111111	1.17114938001585	0.0118284441126695
chr7	127510983	127512983	Srcap	5	9	7	9	14	10	1.8	1.28571428571429	-1.4	1.0304716899839	0.678730598352953
chr11	83222576	83224576	AI662270	8	13	7	7	14	17	1.625	1	1.21428571428571	-1.0645750441587	0.971306035179752
chr7	34094431	34096431	Scgb1b30	5	10	5	3	13	12	2	-1.66666666666667	-1.08333333333333	2.00235495557685	0.744024651030506
chr4	108846785	108848785	Kti12	4	20	3	4	17	12	5	1.33333333333333	-1.41666666666667	-1.09069777254734	0.0746799639360922
chr12	55238326	55240326	Srp54c	9	12	8	23	8	20	1.33333333333333	2.875	2.5	1.26288910883967	2.07823263353725e-18
chr1	46424592	46426592	Dnah7c	4	7	9	8	13	6	1.75	-1.125	-2.16666666666667	1.13653224551093	0.837266797305588
chr5	129793546	129795546	Snora15	2	3	6	5	4	1	1.5	-1.2	-4	4.55844524363337	0.538176606413888
chr10	80601880	80603880	Adat3	4	15	6	8	16	14	3.75	1.33333333333333	-1.14285714285714	1.3286648644157	0.0378103892577206
chr4	45964334	45966334	Tdrd7	2	10	8	14	10	8	5	1.75	-1.25	1.31362088354882	0.0307970701752873
chr4	152273232	152275232	Gpr153	6	11	8	8	9	6	1.83333333333333	1	-1.5	4.63500719017607	0
chr4	134395320	134397320	Pafah2	8	12	7	11	23	16	1.5	1.57142857142857	-1.4375	-1.31434729842481	2.27307434159e-07
chr7	43213039	43215039	EU599041	7	13	9	16	11	21	1.85714285714286	1.77777777777778	1.90909090909091	-3.80561386931537	0.242729051729332
chr4	127076383	127078383	Zmym6	6	18	10	8	13	13	3	-1.25	1	1.14520607060537	0.088144019234085
chr4	15264831	15266831	Tmem64	2	15	7	9	16	17	7.5	1.28571428571429	1.0625	-1.28853251618251	7.92626451906384e-21
chr4	133583362	133585362	Gpn2	6	8	7	7	18	13	1.33333333333333	1	-1.38461538461538	1.45262480872104	1.52943523956461e-08
