chr	enhancer_starts	enhancer_ends	gene	DAY0_H3K27ac	DAY4_H3K27ac	DAY0_H3K4me1	DAY4_H3K4me1	H3K27ac_FC	H3K4me3_FC	fragMEAN	log2FoldChange	padj
chr6	71987200	71992800	Polr1a	225	200	122	143	-1.125	1.17213114754098	172.5	-0.507087128693116	9.88445635559214e-49
chr17	35811000	35818600	Ier3	202	174	119	153	-1.16091954022989	1.28571428571429	162	1.19838806894324	6.3493084401609e-65
chr11	118359800	118366600	Timp2	177	171	99	135	-1.03508771929825	1.36363636363636	145.5	-0.115898307968113	0.00108711975496906
chr19	8980400	8985400	Ahnak	131	146	95	142	1.11450381679389	1.49473684210526	128.5	0.0813741098363274	0.108457892365871
chr18	60668600	60676000	Synpo	178	145	92	88	-1.22758620689655	-1.04545454545455	125.75	-1.11442495474145	2.53686434993577e-137
chr8	126522800	126529400	Tarbp1	177	125	72	108	-1.416	1.5	120.5	-0.00260104717233942	0.971638477328813
chr6	4487400	4490800	Col1a2	202	181	39	51	-1.11602209944751	1.30769230769231	118.25	1.24791174823891	2.07733454043099e-87
chr9	64788100	64796800	Dennd4a	126	109	97	137	-1.15596330275229	1.41237113402062	117.25	-0.15704198049972	6.0621682304349e-05
chr6	4416600	4420400	Col1a2	177	176	37	69	-1.00568181818182	1.86486486486486	114.75	1.24791174823891	2.07733454043099e-87
chr8	126916600	126921800	Tomm20	116	97	104	132	-1.19587628865979	1.26923076923077	112.25	0.142530185392232	0.0338736544392805
chr11	94871600	94875400	Col1a1	196	139	53	55	-1.41007194244604	1.0377358490566	110.75	1.60088132945072	2.4029044253503e-126
chr6	4455400	4458800	Col1a2	160	177	29	57	1.10625	1.96551724137931	105.75	1.24791174823891	2.07733454043099e-87
chr16	37727600	37734900	Fstl1	119	104	89	111	-1.14423076923077	1.24719101123595	105.75	-1.4333809836778	0
chr17	44418900	44423700	Clic5	115	123	59	126	1.0695652173913	2.13559322033898	105.75	2.17090544483512	6.43953525604857e-16
